	Biomarker	Condition Types Full	Condition Categories	Condition Name	Clinical Status	Biomarker Type	Chinese Name
11	1,3-Diaminopropane	Chronic Eosinophilic Leukemia	Cancer,Hematological or Lymphatic System Disorder	Leukemia	Investigational	Chemical Biomarkers	1,3-二氨基丙烷
12	1,3-Diaminopropane	Leukemia	Cancer,Hematological or Lymphatic System Disorder	Leukemia	Investigational	Chemical Biomarkers	1,3-二氨基丙烷
13	1,3-Diaminopropane	Chronic Myeloid Leukemia	Cancer,Hematological or Lymphatic System Disorder	Leukemia	Investigational	Chemical Biomarkers	1,3-二氨基丙烷
14	1,3-Dimethyluric acid	Asthma	Immune System Disorder,Germ-Line Disorder,Respiratory System Disorder	Asthma	Investigational	Chemical Biomarkers	1,3-二甲基尿酸
15	1,4-Dichlorobenzene	1,4-Dichlorobenzene Exposure	Exposure	1,4-Dichlorobenzene Exposure	Clinical	Chemical Biomarkers	
16	1,7-Dimethyluric acid	Asthma	Immune System Disorder,Germ-Line Disorder,Respiratory System Disorder	Asthma	Investigational	Chemical Biomarkers	1,7-二甲基尿酸
17	1-Butanol	Crohn's Disease	Immune System Disorder,Digestive System Disorder	Crohn's Disease	Investigational	Chemical Biomarkers	1-丁醇
18	1-Butanol	Irritable Bowel Syndrome	Lower Gastrointestinal Disorder	Irritable Bowel Syndrome	Investigational	Chemical Biomarkers	1-丁醇
19	1-Hydroxy-2-butanone	Celiac Disease	Immune System Disorder,Lower Gastrointestinal Disorder,Digestive System Disorder	Celiac Disease	Investigational	Chemical Biomarkers	
20	1-Hydroxyphenanthrene	1-Hydroxyphenanthrene Exposure	Exposure	1-Hydroxyphenanthrene Exposure	Clinical	Chemical Biomarkers	1-羟基菲
21	1-Hydroxypyrene	1-Hydroxypyrene Exposure	Exposure	1-Hydroxypyrene Exposure	Clinical	Chemical Biomarkers	1-羟基芘
22	1-Methyl-9H-pyrido[3,4-b]indole	1-Methyl-9H-pyrido[3,4-b]indole (Harman) Exposure	Exposure	1-Methyl-9H-pyrido[3,4-b]indole (Harman) Exposure	Clinical	Chemical Biomarkers	
23	1-Methyladenine	Adenosine Deaminase Deficiency	Immune System Disorder	Adenosine Deaminase Deficiency	Clinical	Chemical Biomarkers	1-甲基腺嘌呤
24	1-Methyladenosine	Uremia	Others,Urinary System Disorder	Uremia	Investigational	Chemical Biomarkers	1-甲基腺苷
25	1-Methyladenosine	Cervical Cancer	Cancer,Female Reproductive System Disorder	Cervical Cancer	Investigational	Chemical Biomarkers	1-甲基腺苷
26	1-Methylguanosine	Uremia	Others,Urinary System Disorder	Uremia	Investigational	Chemical Biomarkers	1-甲基鸟苷
27	1-Methylhistamine	Dermal Fibroproliferative Disorder	Skin Disorder	Dermal Fibroproliferative Disorder	Investigational	Chemical Biomarkers	1-甲基组胺
28	1-Methylhistamine	Mastocytosis	Skin Disorder	Mastocytosis	Investigational	Chemical Biomarkers	1-甲基组胺
29	1-Methylhistidine	Alzheimer's Disease	Nervous System Disorder,Mental or Behavioural Disorder	Alzheimer's Disease	Clinical	Chemical Biomarkers	1-甲基组氨酸
30	1-Methylhistidine	Preeclampsia/Eclampsia	Female Reproductive System Disorder,Cardiovascular System Disorder	Preeclampsia/Eclampsia	Clinical	Chemical Biomarkers	1-甲基组氨酸
31	1-Methylinosine	Uremia	Others,Urinary System Disorder	Uremia	Investigational	Chemical Biomarkers	1-甲基肌苷
32	1-Methylnicotinamide	Pellagra	Skin Disorder	Pellagra	Investigational	Chemical Biomarkers	1-甲基烟酰胺
33	1-Methylnicotinamide	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	1-甲基烟酰胺
34	1-Naphthol	1-Naphthol Exposure	Exposure	1-Naphthol Exposure	Clinical	Chemical Biomarkers	1-萘酚
35	11-Dehydro-thromboxane B2	Angina	Cardiovascular System Disorder	Angina	Investigational	Chemical Biomarkers	11-脱氢血栓烷B2
36	11b-PGF2a	Asthma	Immune System Disorder,Germ-Line Disorder,Respiratory System Disorder	Asthma	Investigational	Chemical Biomarkers	11b-PGF2a
37	12-HETE	Zellweger Syndrome	Visual System Disorder,Germ-Line Disorder,Metabolic Disorder,Digestive System Disorder,Urinary System Disorder	Zellweger Syndrome	Investigational	Chemical Biomarkers	12-HETE
38	13(S)-hydroxyoctadecadienoic acid	Autosomal Dominant Polycystic Kidney Disease	Germ-Line Disorder,Urinary System Disorder	Autosomal Dominant Polycystic Kidney Disease	Investigational	Chemical Biomarkers	
39	15(S)-HETE	Zellweger Syndrome	Visual System Disorder,Germ-Line Disorder,Metabolic Disorder,Digestive System Disorder,Urinary System Disorder	Zellweger Syndrome	Investigational	Chemical Biomarkers	
40	17-Hydroxyprogesterone	Antley Bixler Syndrome With Genital Anomalies And Disordered Steroidogenesis	Germ-Line Disorder,Male Reproductive System Disorder,Female Reproductive System Disorder,Musculoskeletal System Disorder	Antley Bixler Syndrome With Genital Anomalies And Disordered Steroidogenesis	Investigational	Chemical Biomarkers	17-羟孕酮
41	17-Hydroxyprogesterone	Congenital Adrenal Hyperplasia	Endocrine System Disorder	Congenital Adrenal Hyperplasia	Investigational	Chemical Biomarkers	17-羟孕酮
42	17a-Hydroxypregnenolone	Antley Bixler Syndrome With Genital Anomalies And Disordered Steroidogenesis	Germ-Line Disorder,Male Reproductive System Disorder,Female Reproductive System Disorder,Musculoskeletal System Disorder	Antley Bixler Syndrome With Genital Anomalies And Disordered Steroidogenesis	Investigational	Chemical Biomarkers	17a-羟孕烯醇酮
43	17a-Hydroxypregnenolone	Congenital Adrenal Insufficiency with 46,XY Sex Reversal	Immune System Disorder,Germ-Line Disorder,Male Reproductive System Disorder,Female Reproductive System Disorder,Endocrine System Disorder,Urinary System Disorder	Congenital Adrenal Insufficiency with 46,XY Sex Reversal	Investigational	Chemical Biomarkers	17a-羟孕烯醇酮
44	18-Hydroxycorticosterone	Aldosterone Biosynthesis Defects	Germ-Line Disorder,Endocrine System Disorder	Aldosterone Biosynthesis Defects	Investigational	Chemical Biomarkers	18-羟基皮质酮
45	2,2',3,3',4,4',5,5',6,6'-Decachlorobiphenyl	2,2',3,3',4,4',5,5',6,6'-Decachlorobiphenyl (PCB) Exposure	Exposure	2,2',3,3',4,4',5,5',6,6'-Decachlorobiphenyl (PCB) Exposure	Clinical	Chemical Biomarkers	
46	2,2',3,3',4,4',5-Heptachlorobiphenyl	2,2',3,3',4,4',5-Heptachlorobiphenyl (PCB) Exposure	Exposure	2,2',3,3',4,4',5-Heptachlorobiphenyl (PCB) Exposure	Clinical	Chemical Biomarkers	
47	2,2',3,3',4,4'-Hexachlorobiphenyl	2,2',3,3',4,4'-Hexachlorobiphenyl (PCB) Exposure	Exposure	2,2',3,3',4,4'-Hexachlorobiphenyl (PCB) Exposure	Clinical	Chemical Biomarkers	
48	2,2',3,4',5',6-Hexachlorobiphenyl	2,2',3,4',5',6-Hexachlorobiphenyl (PCB) Exposure	Exposure	2,2',3,4',5',6-Hexachlorobiphenyl (PCB) Exposure	Clinical	Chemical Biomarkers	
49	2,2',3,4',5,5',6-Heptachlorobiphenyl	2,2',3,4',5,5',6-Heptachlorobiphenyl (PCB) Exposure	Exposure	2,2',3,4',5,5',6-Heptachlorobiphenyl (PCB) Exposure	Clinical	Chemical Biomarkers	
50	2,2',3,4,4',5'-Hexachlorobiphenyl	2,2',3,4,4',5'-Hexachlorobiphenyl (PCB) Exposure	Exposure	2,2',3,4,4',5'-Hexachlorobiphenyl (PCB) Exposure	Clinical	Chemical Biomarkers	
51	2,2',3,4,4',5,5'-Heptachlorobiphenyl	2,2',3,4,4',5,5'-Heptachlorobiphenyl (PCB) Exposure	Exposure	2,2',3,4,4',5,5'-Heptachlorobiphenyl (PCB) Exposure	Clinical	Chemical Biomarkers	
52	2,2',3,5,5',6-Hexachlorobiphenyl	2,2',3,5,5',6-Hexachlorobiphenyl (PCB) Exposure	Exposure	2,2',3,5,5',6-Hexachlorobiphenyl (PCB) Exposure	Clinical	Chemical Biomarkers	
53	2,2',4,4',5,5'-Hexachlorobiphenyl	2,2',4,4',5,5'-Hexachlorobiphenyl (PCB) Exposure	Exposure	2,2',4,4',5,5'-Hexachlorobiphenyl (PCB) Exposure	Clinical	Chemical Biomarkers	
54	2,2',4,4',5-Pentachlorobiphenyl	2,2',4,4',5-Pentachlorobiphenyl (PCB) Exposure	Exposure	2,2',4,4',5-Pentachlorobiphenyl (PCB) Exposure	Clinical	Chemical Biomarkers	
55	2,2',4,5,5'-Pentachlorobiphenyl	2,2',4,5,5'-Pentachlorobiphenyl (PCB) Exposure	Exposure	2,2',4,5,5'-Pentachlorobiphenyl (PCB) Exposure	Clinical	Chemical Biomarkers	
56	2,2',5,5'-Tetrachlorobiphenyl	2,2',5,5'-Tetrachlorobiphenyl (PCB) Exposure	Exposure	2,2',5,5'-Tetrachlorobiphenyl (PCB) Exposure	Clinical	Chemical Biomarkers	
57	2,2’,3,4,4’-Pentabromodiphenyl ether	2,2’,3,4,4’-Pentabromodiphenyl ether (PBDE) Exposure	Exposure	2,2’,3,4,4’-Pentabromodiphenyl ether (PBDE) Exposure	Clinical	Chemical Biomarkers	
58	2,2’,4,4’-Tetrabromodiphenyl ether	2,2’,4,4’-Tetrabromodiphenyl ether (PBDE) Exposure	Exposure	2,2’,4,4’-Tetrabromodiphenyl ether (PBDE) Exposure	Clinical	Chemical Biomarkers	
59	2,3-Butanediol	Cirrhosis	Others,Digestive System Disorder	Cirrhosis	Investigational	Chemical Biomarkers	2,3-丁二醇
60	2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine	2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine Exposure	Exposure	2-Amino-1-methyl-6-phenylimidazo[4,5-b]pyridine Exposure	Clinical	Chemical Biomarkers	
61	2-Amino-9H-pyrido[2,3-b]indole	2-Amino-9H-pyrido[2,3-b]indole (A-α-C) Exposure	Exposure	2-Amino-9H-pyrido[2,3-b]indole (A-α-C) Exposure	Clinical	Chemical Biomarkers	
62	2-Aminobenzoic acid	Uremia	Others,Urinary System Disorder	Uremia	Investigational	Chemical Biomarkers	2-氨基苯甲酸
63	2-Ethylhydracrylic acid	3-Methylglutaconic Aciduria Type I	Germ-Line Disorder,Cardiovascular System Disorder,Metabolic Disorder	3-Methylglutaconic Aciduria Type I	Clinical	Chemical Biomarkers	2-乙基氢丙烯酸
64	2-Ethylhydracrylic acid	Type V 3-Methylglutaconic Aciduria	Germ-Line Disorder,Cardiovascular System Disorder,Metabolic Disorder	Type V 3-Methylglutaconic Aciduria	Clinical	Chemical Biomarkers	2-乙基氢丙烯酸
65	2-Ethylhydracrylic acid	2 Methylbutyryl Co A Dehydrogenase Deficiency	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder	2 Methylbutyryl Co A Dehydrogenase Deficiency	Clinical	Chemical Biomarkers	2-乙基氢丙烯酸
66	2-Furancarboxaldehyde	Celiac Disease	Immune System Disorder,Lower Gastrointestinal Disorder,Digestive System Disorder	Celiac Disease	Investigational	Chemical Biomarkers	
67	2-Heptanone	Hepatic Encephalopathy	Others,Nervous System Disorder,Digestive System Disorder	Hepatic Encephalopathy	Investigational	Chemical Biomarkers	2-庚酮
68	2-Heptanone	Celiac Disease	Immune System Disorder,Lower Gastrointestinal Disorder,Digestive System Disorder	Celiac Disease	Investigational	Chemical Biomarkers	2-庚酮
69	2-Hexenal	Uremia	Others,Urinary System Disorder	Uremia	Investigational	Chemical Biomarkers	
70	2-Hydroxyadipic acid	Alpha Aminoadipic Aciduria	Germ-Line Disorder	Alpha Aminoadipic Aciduria	Clinical	Chemical Biomarkers	2-羟基己二酸
71	2-Hydroxybutyric acid	Preeclampsia/Eclampsia	Female Reproductive System Disorder,Cardiovascular System Disorder	Preeclampsia/Eclampsia	Clinical	Chemical Biomarkers	2-羟基丁酸
72	2-Hydroxyfluorene	2-Hydroxyfluorene Exposure	Exposure	2-Hydroxyfluorene Exposure	Clinical	Chemical Biomarkers	2-羟基芴
73	2-Hydroxyglutarate	D 2 Hydroxyglutaric Aciduria	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder	D 2 Hydroxyglutaric Aciduria	Clinical	Chemical Biomarkers	
74	2-Hydroxyglutarate	3 Hydroxyacyl Co A Dehydrogenase Deficiency	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder,Endocrine System Disorder	3 Hydroxyacyl Co A Dehydrogenase Deficiency	Clinical	Chemical Biomarkers	
75	2-Methoxyestradiol	Ovarian Cancer	Cancer,Female Reproductive System Disorder,Endocrine System Disorder	Ovarian Cancer	Investigational	Chemical Biomarkers	2-甲氧基雌二醇
76	2-Methylbutyrylglycine	2 Methylbutyryl Co A Dehydrogenase Deficiency	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder	2 Methylbutyryl Co A Dehydrogenase Deficiency	Clinical	Chemical Biomarkers	2-甲基丁酰甘氨酸
77	2-Methylcitric acid	Biotinidase Deficiency	Metabolic Disorder	Biotinidase Deficiency	Clinical	Chemical Biomarkers	2-甲基柠檬酸
78	2-Methylglutaric acid	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	2-甲基戊二酸
79	2-Naphthol	2-Naphthol Exposure	Exposure	2-Naphthol Exposure	Clinical	Chemical Biomarkers	2-萘酚
80	2-Nonenal	Celiac Disease	Immune System Disorder,Lower Gastrointestinal Disorder,Digestive System Disorder	Celiac Disease	Investigational	Chemical Biomarkers	
81	2-Oxoarginine	Cirrhosis	Others,Digestive System Disorder	Cirrhosis	Investigational	Chemical Biomarkers	2-氧代精氨酸
82	2-Oxoarginine	Uremia	Others,Urinary System Disorder	Uremia	Investigational	Chemical Biomarkers	2-氧代精氨酸
83	2-Phenylpropionate	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	2-苯基丙酸酯
84	20-Hydroxyeicosatetraenoic acid	Kidney Transplantation	Others	Kidney Transplantation	Investigational	Chemical Biomarkers	20-羟基二十碳四烯酸
85	24-Hydroxycholesterol	Alzheimer's Disease	Nervous System Disorder,Mental or Behavioural Disorder	Alzheimer's Disease	Investigational	Chemical Biomarkers	24-羟基胆固醇
86	24-Hydroxycholesterol	Mild Cognitive Impairment	Mental or Behavioural Disorder	Mild Cognitive Impairment	Investigational	Chemical Biomarkers	24-羟基胆固醇
87	25-Hydroxyvitamin D2	Nephrotic Syndrome	Others,Urinary System Disorder	Nephrotic Syndrome	Investigational	Chemical Biomarkers	25-羟基维生素D2
88	27-Hydroxycholesterol	Subarachnoid Hemorrhage	Hematological or Lymphatic System Disorder,Nervous System Disorder	Subarachnoid Hemorrhage	Investigational	Chemical Biomarkers	27-羟基胆固醇
89	27-Hydroxycholesterol	Alzheimer's Disease	Nervous System Disorder,Mental or Behavioural Disorder	Alzheimer's Disease	Investigational	Chemical Biomarkers	27-羟基胆固醇
90	27-Hydroxycholesterol	Mild Cognitive Impairment	Mental or Behavioural Disorder	Mild Cognitive Impairment	Investigational	Chemical Biomarkers	27-羟基胆固醇
91	3,4-Dihydroxybenzeneacetic acid	Encephalitis	Nervous System Disorder	Encephalitis	Investigational	Chemical Biomarkers	
92	3,4-Dihydroxyhydrocinnamic acid	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	
93	3,5-Diiodo-L-tyrosine	Chronic Kidney Disease	Urinary System Disorder	Chronic Kidney Disease	Investigational	Chemical Biomarkers	3,5-二碘-L-酪氨酸
94	3,5-Diiodothyronine	Hyperthyroidism	Immune System Disorder,Endocrine System Disorder	Hyperthyroidism	Investigational	Chemical Biomarkers	3,5-二碘甲状腺原氨酸
95	3-(3-Hydroxyphenyl)-3-hydroxypropanoic acid	Autism	Mental or Behavioural Disorder	Autism	Clinical	Chemical Biomarkers	
96	3-Aminoisobutanoic acid	Aldehyde Dehydrogenase Deficiency	Visual System Disorder,Germ-Line Disorder,Skin Disorder,Nervous System Disorder,Metabolic Disorder	Aldehyde Dehydrogenase Deficiency	Clinical	Chemical Biomarkers	3-氨基异丁酸
97	3-Chlorotyrosine	Asthma	Immune System Disorder,Germ-Line Disorder,Respiratory System Disorder	Asthma	Investigational	Chemical Biomarkers	3-氯酪氨酸
98	3-Hydroxybutyrylcarnitine	3 Hydroxyacyl Co A Dehydrogenase Deficiency	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder,Endocrine System Disorder	3 Hydroxyacyl Co A Dehydrogenase Deficiency	Clinical	Chemical Biomarkers	
99	3-Hydroxyisovaleric acid	3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder	3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency	Clinical	Chemical Biomarkers	3-羟基异戊酸
100	3-Hydroxyisovaleric acid	Lung Cancer	Cancer,Germ-Line Disorder,Respiratory System Disorder	Lung Cancer	Clinical	Chemical Biomarkers	3-羟基异戊酸
101	3-Hydroxyisovaleric acid	3-Methylglutaconic Aciduria Type I	Germ-Line Disorder,Cardiovascular System Disorder,Metabolic Disorder	3-Methylglutaconic Aciduria Type I	Clinical	Chemical Biomarkers	3-羟基异戊酸
102	3-Hydroxyisovaleric acid	Biotinidase Deficiency	Metabolic Disorder	Biotinidase Deficiency	Clinical	Chemical Biomarkers	3-羟基异戊酸
103	3-Hydroxyisovaleric acid	Preeclampsia/Eclampsia	Female Reproductive System Disorder,Cardiovascular System Disorder	Preeclampsia/Eclampsia	Clinical	Chemical Biomarkers	3-羟基异戊酸
104	3-Hydroxyisovalerylcarnitine	3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder	3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency	Clinical	Chemical Biomarkers	
105	3-Hydroxymethylglutaric acid	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	3-羟甲基戊二酸
106	3-Hydroxypropionic acid	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Clinical	Chemical Biomarkers	3-羟丙酸
107	3-Methoxytyrosine	Purine Nucleoside Phosphorylase Deficiency	Immune System Disorder,Germ-Line Disorder,Metabolic Disorder	Purine Nucleoside Phosphorylase Deficiency	Clinical	Chemical Biomarkers	3-甲氧基酪氨酸
108	3-Methoxytyrosine	Pyridoxine Dependent Epilepsy	Nervous System Disorder	Epilepsy	Investigational	Chemical Biomarkers	3-甲氧基酪氨酸
109	3-Methoxytyrosine	Epilepsy	Nervous System Disorder	Epilepsy	Investigational	Chemical Biomarkers	3-甲氧基酪氨酸
110	3-Methoxytyrosine	Aromatic L Amino Acid Decarboxylase Deficiency	Germ-Line Disorder,Metabolic Disorder	Aromatic L Amino Acid Decarboxylase Deficiency	Clinical	Chemical Biomarkers	3-甲氧基酪氨酸
111	3-Methyladipic acid	Infantile Refsum Disease	Visual System Disorder,Germ-Line Disorder,Nervous System Disorder,Digestive System Disorder	Refsum Disease	Investigational	Chemical Biomarkers	3-甲基己二酸
112	3-Methyladipic acid	Refsum Disease	Visual System Disorder,Germ-Line Disorder,Nervous System Disorder,Digestive System Disorder	Refsum Disease	Investigational	Chemical Biomarkers	3-甲基己二酸
113	3-Methylcrotonylglycine	3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder	3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency	Clinical	Chemical Biomarkers	3-甲基巴豆酰甘氨酸
114	3-Methylcrotonylglycine	Biotinidase Deficiency	Metabolic Disorder	Biotinidase Deficiency	Clinical	Chemical Biomarkers	3-甲基巴豆酰甘氨酸
115	3-Methylglutaconic acid	3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder	3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency	Clinical	Chemical Biomarkers	3-甲基谷氨酸
116	3-Methylglutaconic acid	Type V 3-Methylglutaconic Aciduria	Germ-Line Disorder,Cardiovascular System Disorder,Metabolic Disorder	Type V 3-Methylglutaconic Aciduria	Clinical	Chemical Biomarkers	3-甲基谷氨酸
117	3-Methylglutaconic acid	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Clinical	Chemical Biomarkers	3-甲基谷氨酸
118	3-Methylglutaconic acid	3-Methylglutaconic Aciduria Type I	Germ-Line Disorder,Cardiovascular System Disorder,Metabolic Disorder	3-Methylglutaconic Aciduria Type I	Clinical	Chemical Biomarkers	3-甲基谷氨酸
119	3-Methylglutarylcarnitine	3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency	Germ-Line Disorder,Nervous System Disorder,Metabolic Disorder	3 Hydroxy 3 Methylglutaryl Co A Lyase Deficiency	Clinical	Chemical Biomarkers	
120	3-Methylhistidine	Alzheimer's Disease	Nervous System Disorder,Mental or Behavioural Disorder	Alzheimer's Disease	Clinical	Chemical Biomarkers	3-甲基组氨酸
121	3-Methylthiopropionic acid	Cirrhosis	Others,Digestive System Disorder	Cirrhosis	Investigational	Chemical Biomarkers	3-甲硫丙酸
122	3-Methylxanthine	Asthma	Immune System Disorder,Germ-Line Disorder,Respiratory System Disorder	Asthma	Investigational	Chemical Biomarkers	
123	3-Nitrotyrosine	Hypoxic Ischemic Encephalopathy	Nervous System Disorder,Cardiovascular System Disorder	Hypoxic Ischemic Encephalopathy	Investigational	Chemical Biomarkers	3-硝基酪氨酸
124	4-Decenal	Uremia	Others,Urinary System Disorder	Uremia	Investigational	Chemical Biomarkers	
125	4-Guanidinobutanoic acid	Uremia	Others,Urinary System Disorder	Uremia	Investigational	Chemical Biomarkers	4-胍基丁酸
126	4-Hydroxybutyric acid	Aldehyde Dehydrogenase Deficiency	Visual System Disorder,Germ-Line Disorder,Skin Disorder,Nervous System Disorder,Metabolic Disorder	Aldehyde Dehydrogenase Deficiency	Clinical	Chemical Biomarkers	4-羟基丁酸
127	4-Hydroxyhippuric acid	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	
128	4-Hydroxynonenal	Uremia	Others,Urinary System Disorder	Uremia	Investigational	Chemical Biomarkers	4-羟基壬烯醛
129	5-Aminolevulinic acid	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Investigational	Chemical Biomarkers	5-氨基乙酰丙酸
130	5-HETE	Asthma	Immune System Disorder,Germ-Line Disorder,Respiratory System Disorder	Asthma	Investigational	Chemical Biomarkers	5-HETE
131	5-HETE	Systemic Juvenile Rheumatoid Arthritis	Immune System Disorder,Musculoskeletal System Disorder	Rheumatoid Arthritis	Investigational	Chemical Biomarkers	5-HETE
132	5-HETE	Rhinitis	Otorhinolaryngologic Disorder	Rhinitis	Investigational	Chemical Biomarkers	5-HETE
133	5-HETE	Rheumatoid Arthritis	Immune System Disorder,Musculoskeletal System Disorder	Rheumatoid Arthritis	Investigational	Chemical Biomarkers	5-HETE
134	5-Hydroxy-L-tryptophan	Aromatic L Amino Acid Decarboxylase Deficiency	Germ-Line Disorder,Metabolic Disorder	Aromatic L Amino Acid Decarboxylase Deficiency	Clinical	Chemical Biomarkers	5-羟基-L-色氨酸
135	5-Hydroxyindoleacetic acid	Schizophrenia	Germ-Line Disorder,Mental or Behavioural Disorder	Schizophrenia	Clinical	Chemical Biomarkers	5-羟基吲哚乙酸
136	5-Hydroxyindoleacetic acid	Aromatic L Amino Acid Decarboxylase Deficiency	Germ-Line Disorder,Metabolic Disorder	Aromatic L Amino Acid Decarboxylase Deficiency	Clinical	Chemical Biomarkers	5-羟基吲哚乙酸
137	5-Hydroxyindoleacetic acid	Eosinophilic Esophagitis	Immune System Disorder,Digestive System Disorder	Eosinophilic Esophagitis	Clinical	Chemical Biomarkers	5-羟基吲哚乙酸
138	5-Hydroxyindoleacetic acid	Bipolar Disorder	Mental or Behavioural Disorder	Bipolar Disorder	Clinical	Chemical Biomarkers	5-羟基吲哚乙酸
139	5-Hydroxyindoleacetic acid	Celiac Disease	Immune System Disorder,Lower Gastrointestinal Disorder,Digestive System Disorder	Celiac Disease	Clinical	Chemical Biomarkers	5-羟基吲哚乙酸
140	5-Hydroxyindoleacetic acid	Carcinoid Tumors	Cancer	Carcinoid Tumors	Clinical	Chemical Biomarkers	5-羟基吲哚乙酸
141	5-Hydroxyindoleacetic acid	Pyridoxine Dependent Epilepsy	Nervous System Disorder	Epilepsy	Clinical	Chemical Biomarkers	5-羟基吲哚乙酸
142	5-Hydroxyindoleacetic acid	Epilepsy	Nervous System Disorder	Epilepsy	Clinical	Chemical Biomarkers	5-羟基吲哚乙酸
143	5-Hydroxyindoleacetic acid	Brunner Syndrome	Germ-Line Disorder,Nervous System Disorder	Brunner Syndrome	Clinical	Chemical Biomarkers	5-羟基吲哚乙酸
144	5-Hydroxylysine	Alzheimer's Disease	Nervous System Disorder,Mental or Behavioural Disorder	Alzheimer's Disease	Investigational	Chemical Biomarkers	5-羟基赖氨酸
